p_id	c_id	roll_on_date	roll_off_date	total_days
1	101	2011-06-15	2011-12-15	600
1	103	2011-01-05	2011-06-05	500
1	104	2011-01-05	2011-12-15	1110
1	105	2011-01-05	2011-12-15	1110
2	100	2011-07-17	2011-09-17	200
2	105	2011-07-17	2011-09-17	200
3	103	2011-09-15	2012-03-15	9400
3	104	2011-10-15	2011-12-15	200
4	102	2011-07-15	2011-12-15	500
4	104	2011-06-15	2011-12-15	600
4	105	2011-06-05	2012-06-05	10000
5	103	2011-09-19	2012-03-19	9400
5	105	2011-09-19	2012-03-19	9400
6	103	2011-09-19	2012-03-19	9400
6	104	2011-09-19	2012-03-19	9400
7	100	2011-05-25	2011-12-20	695
7	102	2011-05-20	2011-12-20	700
