project_id	consultant_id	months
         1	          101	     6
         1	          103	     4
         1	          104	    11
         1	          105	    11
         2	          100	     2
         2	          105	     2
         3	          103	     5
         3	          104	     2
         4	          102	     5
         4	          104	     6
         4	          105	    12
         5	          103	     5
         5	          105	     5
         6	          103	     5
         6	          104	     5
         7	          100	     6
         7	          102	     7
