account_status	invoice_number	due_date	credit_total
Good	31361833	2018-06-09	0.00
Good	31359783	2018-06-09	0.00
Good	203339-13	2018-06-13	0.00
Good	9982771	2018-06-18	0.00
Good	989319-487	2018-06-19	0.00
Good	43966316	2018-06-19	0.00
Good	963253262	2018-06-21	0.00
Good	25022117	2018-06-21	0.00
Good	547479217	2018-06-22	0.00
Good	963253263	2018-06-22	0.00
Good	263253265	2018-06-23	0.00
Good	963253264	2018-06-23	0.00
Good	963253267	2018-06-24	0.00
Good	263253268	2018-06-24	0.00
Good	I77271-O01	2018-06-24	0.00
Good	111-92R-10097	2018-06-24	0.00
Good	547480102	2018-06-24	0.00
Good	963253269	2018-06-25	0.00
Good	263253270	2018-06-25	0.00
Good	21-4748363	2018-06-25	0.00
Good	111-92R-10096	2018-06-25	0.00
Good	547481328	2018-06-25	0.00
Good	989319-497	2018-06-26	0.00
Good	111-92R-10095	2018-06-26	0.00
Good	111-92R-10094	2018-06-27	0.00
Good	963253271	2018-06-28	0.00
Good	111-92R-10093	2018-06-28	0.00
Good	963253272	2018-06-29	0.00
Good	263253273	2018-06-29	0.00
Good	111-92R-10092	2018-06-29	0.00
Good	367447	2018-06-30	0.00
BAD	P-0608	2018-06-30	1200.00
Good	134116	2018-07-02	0.00
Good	97/553B	2018-07-09	0.00
Good	97/553	2018-07-09	0.00
BAD	97/522	2018-07-10	200.00
Good	109596	2018-07-11	0.00
Good	0-2436	2018-07-17	0.00
Good	39104	2018-07-20	0.00
Good	40318	2018-07-20	0.00
