invoice_id	invoice_total	payment_total	credit_total	due_payment
113	21842.00	0.00	0.00	21842.00
3	20551.18	0.00	1200.00	21751.18
34	10976.06	0.00	0.00	10976.06
88	2433.00	0.00	0.00	2433.00
6	2312.20	0.00	0.00	2312.20
19	1962.13	0.00	200.00	2162.13
8	1927.54	0.00	0.00	1927.54
81	1575.00	0.00	0.00	1575.00
18	904.14	0.00	0.00	904.14
100	662.00	0.00	0.00	662.00
114	579.42	0.00	0.00	579.42
94	503.20	0.00	0.00	503.20
15	313.55	0.00	0.00	313.55
111	224.00	0.00	0.00	224.00
112	224.00	0.00	0.00	224.00
39	158.00	0.00	0.00	158.00
69	116.00	0.00	0.00	116.00
45	109.50	0.00	0.00	109.50
91	90.36	0.00	0.00	90.36
110	85.31	0.00	0.00	85.31
70	67.92	0.00	0.00	67.92
38	61.50	0.00	0.00	61.50
71	59.97	0.00	0.00	59.97
44	52.25	0.00	0.00	52.25
98	46.21	0.00	0.00	46.21
79	42.50	0.00	0.00	42.50
109	41.80	0.00	0.00	41.80
99	39.77	0.00	0.00	39.77
105	32.70	0.00	0.00	32.70
68	30.75	0.00	0.00	30.75
40	26.75	0.00	0.00	26.75
72	26.25	0.00	0.00	26.25
41	23.50	0.00	0.00	23.50
103	19.67	0.00	0.00	19.67
30	17.50	0.00	0.00	17.50
106	16.33	0.00	0.00	16.33
107	16.33	0.00	0.00	16.33
67	10.00	0.00	0.00	10.00
42	9.95	0.00	0.00	9.95
82	6.00	0.00	0.00	6.00
